predicted_x	predicted_y	predicted_ax	predicted_ay	measured_x	measured_y	actual_x	actual_y	actual_ax	actual_ay
8.46292	0.243462	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0
8.44827	0.251501	-0.209221	0.114847	8.44818	0.251553	8.45	0.25	-3.00027	0
8.4378	0.25725	-0.209221	0.114847	8.56759	0.241943	8.45	0.25	0	0
8.45561	0.254064	0.0681361	0.0272144	8.45582	0.253997	8.45	0.25	0	0
8.45935	0.25556	0.0681361	0.0272144	8.42544	0.254042	8.35	0.25	-1.81979	0
8.27428	0.250385	-1.00109	-0.0105596	8.23962	0.24916	8.25	0.25	-1.81978	0
8.22423	0.249857	-1.00109	-0.0105596	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.94284	0.187258	-1.96672	-0.269665	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.8445	0.173774	-1.96672	-0.269665	7.61269	0.155818	7.7	0.15	-2.99982	0
7.62314	0.159902	-2.38403	-0.27098	7.54016	0.159641	7.55	0.15	-2.99982	0
7.4919	0.144985	-2.38403	-0.27098	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.35081	0.0779634	-2.41272	-0.422823	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.21817	0.0547187	-2.41272	-0.422823	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
7.06969	-0.0112066	-2.45513	-0.537132	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.93472	-0.0407359	-2.45513	-0.537132	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.82345	-0.159687	-2.39379	-0.768455	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.70381	-0.198095	-2.39379	-0.768455	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.61043	-0.336937	-2.32612	-1.02723	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
